"asv" "LFC_Intercept" "LFC_FractionViable_Cell" "se_Intercept" "se_viable" "W_Intercept" "W_viable" "p_Intercept" "p_viable" "adj_p_Intercept" "adj_p_viable" "DA_Intercept" "DA_Fraction_Viable_cells_Active"
"1" "f18c54e493d5d5ad534b9c3100216416" 6.23936375571266 -1.67757351121342 0.0508688592145425 0.282652073281173 122.655861602828 -5.93511836562623 0 2.93633580473653e-09 0 1.70013843094245e-06 TRUE TRUE
"2" "509fca5a90d0b1dbec313e11c762a7e1" 4.31025385764899 -1.67037180961368 0.0488690737226504 0.2951262993432 88.2000318260837 -5.65985414831235 0 1.51501698030491e-08 0 8.69619746695019e-06 TRUE TRUE
"3" "b0a6492dcd2c78db242d7b78618ab9ac" 0.802163259266323 -2.40519268822932 0.73728980364338 1.02388091935486 1.08798908557038 -2.34909416003653 0.276599925868487 0.0188191470686256 1 1 FALSE FALSE
"4" "fef6fa6624415b309a5ca9ff89d8efa0" 1.14711618890253 -2.24269766265878 0.920202967855673 1.33268300885513 1.24659040339288 -1.68284404299971 0.21254772229035 0.0924052864044516 1 1 FALSE FALSE
"5" "2acee427328d2e8641b8738258b15927" 5.52944952270973 -2.32368868871613 0.174916271753307 0.345399834839583 31.6119790759558 -6.72753271522361 2.52742029974339e-219 1.72564044373941e-11 1.51392475954629e-216 1.01812786180625e-08 TRUE TRUE
"6" "75d7c7a1bfc0a32da8b15f370a363073" 3.74837991329827 0.298350027483594 0.701998659377742 0.772031217629723 5.33958272316484 0.386448139234036 9.31607543542811e-08 0.699164803858549 4.2760786248615e-05 1 TRUE FALSE
"7" "d2e4b0d730d23797a6056490f9cb549c" 3.75342384464924 -0.225241712565559 0.251133562484261 0.303812000267924 14.9459268108956 -0.741385173616987 1.65571466444842e-50 0.458459931552905 8.64283054842073e-48 1 TRUE FALSE
"8" "757d2e39206866545010c4afcc44f748" 4.2651531011844 -2.3355558633655 0.094119456796351 0.30350112671927 45.3163803358219 -7.69537790060931 0 1.41076592670155e-14 0 8.42227258240826e-12 TRUE TRUE
"9" "c3e1345f0d45ef03cb8d2b6475a890b1" 2.02878133881182 -0.660452707777798 1.08521380451378 1.12800577624633 1.86947616255288 -0.58550472141693 0.06155659703348 0.558208392865158 1 1 FALSE FALSE
"10" "051248e3d7e31dfb9ce8de793a97b6f2" 3.99099684951358 -1.84949329417011 0.3088633384661 0.393342051471661 12.9215622331027 -4.70199737671161 3.40163915994736e-38 2.57628810959509e-06 1.75864744569278e-35 0.00143241618893487 TRUE FALSE
"11" "704bb18d32079bee8aec56f6eea0e0ce" 3.03987640740883 -0.875080962145399 0.407816680964217 0.448173228994014 7.45402664800648 -1.95255072265168 9.05336997023401e-14 0.0508728550681116 4.28224399592069e-11 1 TRUE FALSE
"12" "0052997f3114e9a350300fa62719d564" 3.79193783150032 -1.17615112634788 0.14738897513209 0.249584518535942 25.7274184049518 -4.71243622499969 5.76924318231504e-146 2.44772697816459e-06 3.43846893665976e-143 0.00136338392683768 TRUE FALSE
"13" "b51aaeefbc2a97bf0db370d41fd7e493" 1.09518765821519 -2.51224452529426 0.732629347893056 0.881954385630401 1.4948727639219 -2.84849711756755 0.134947651626324 0.0043926251270578 1 1 FALSE FALSE
"14" "71582281edf705eb59a48c1a50e59a86" 4.12035285527221 -1.5706224370399 0.236663221934933 0.283787811046907 17.4101950509447 -5.53449576021533 6.90482785380592e-68 3.1212498086408e-08 4.04622912233027e-65 1.78847614035118e-05 TRUE TRUE
"15" "ff8123ece2a6aff4b7f2750a928e83ec" 4.39511392228461 -2.31663928121353 0.262592440286776 0.316918092209414 16.737397000023 -7.30989911324701 6.99822434167183e-63 2.67343032406177e-13 4.07296656685301e-60 1.59069104281675e-10 TRUE TRUE
"16" "7d2d1b7d4e351f67f982eff3c2fe17cd" 4.58343178741092 -2.64419299303277 0.305850909912281 0.398058816332302 14.9858366899267 -6.6427193282547 9.08739121337072e-51 3.07947917968054e-11 4.75270560459289e-48 1.81073375765216e-08 TRUE TRUE
"17" "8b10efb60e9ddd2cb7fcd09c8fa35166" 3.39635731459201 -1.83677480895942 0.0434323347649498 0.18008787933695 78.1988196806057 -10.1993249946753 0 1.9965525416973e-24 0 1.20392118264347e-21 TRUE TRUE
"18" "d68e5db43ed592beada9818c7dad8e6c" 1.93197019831317 0.00338334437428034 1.03941424993644 1.08080676041189 1.85871051742009 0.00313038787154788 0.0630681818778824 0.997502315927239 1 1 FALSE FALSE
"19" "9a9d60dff4a1cf50f489b3e45e0879b9" -0.780266967114349 1.51316943783584 0.776342412390116 0.853949133088273 -1.00505518526567 1.771966712307 0.314870277691178 0.0764000830559121 1 1 FALSE FALSE
"20" "9ca5c6b3923a29ddca908fc1a47ffca1" 3.54187358623425 -1.36358132534383 0.135495362190475 0.231394623778982 26.1401831691863 -5.89288248393472 1.27437093361271e-150 3.79516316729186e-09 7.60799447366789e-148 2.1898091475274e-06 TRUE TRUE
"21" "d44ee1c36fcc9b098d56b04791f30386" 3.6500702648607 -3.09768067644849 0.204313018500574 0.913377331989175 17.8650890268671 -3.39145779948609 2.2057989232314e-71 0.000695218685057991 1.29480396793683e-68 0.34969499858417 TRUE FALSE
"22" "c639f70ccca7c6dbc19384f369cc38d2" 3.03330675717567 -2.27257179660924 0.801848516820481 1.22858301601712 3.78289252090089 -1.84975029524385 0.000155016362661831 0.0643495477887112 0.0675871341205583 1 FALSE FALSE
