Feature_ID	Domain	Phyla	Class	Order	Family	Genus	Species	Confidence
3753e06ff76ab17b6409c2960ec3952f	d__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__UBA4665	 g__PMNU01	 s__PMNU01 sp002952755	0.881243938
c580fb963276e7f2c2770a438cb7b002	d__Bacteria	 p__Chloroflexota	 c__Anaerolineae	 o__Ardenticatenales	 f__Ardenticatenaceae	 g__Ardenticatena	 s__	1
4468b79c364dba4433bd71d41cbeeda4	d__Bacteria	 p__Actinobacteriota	 c__Actinomycetia	 o__Streptomycetales_400645	 f__Streptomycetaceae_400641			0.888566959
b34068a22e30268ad438af51671f7af3	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales_650611	 f__Pseudomonadaceae			0.849429313
5d345806f41fbe9746f6ba95cc076137	d__Bacteria	 p__Dependentiae	 c__Babeliae	 o__Babeliales	 f__Babeliaceae	 g__Babela	 s__	0.780307052
a353526d9db3d83a580f1e1c17f87d8c	d__Bacteria	 p__Desulfobacterota_G_459546	 c__Desulfuromonadia	 o__Desulfuromonadales				0.708703464
c849fe410e92f24d3dc7629083908021	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Steroidobacterales	 f__Steroidobacteraceae	 g__Povalibacter	 s__	0.87152988
69c05418a815c7c1177875ec79c0e987	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__AKYH767-A	 f__2013-40CM-41-45	 g__QQVM01	 s__QQVM01 sp004295015	0.990371865
7036c297b83f0fef20923b02bd531f9a	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micavibrionales	 f__Micavibrionaceae	 g__UBA6145	 s__UBA6145 sp009926935	0.999999982
a2987e63070ab78eeb982f272f0f8c50	d__Bacteria	 p__Chloroflexota	 c__Dehalococcoidia	 o__Tepidiformales	 f__Tepidiformaceae	 g__Tepidiforma	 s__Tepidiforma bonchosmolovskayae	0.954762307
0b798655b32b01f5138c03bf47256c52	d__Bacteria	 p__Myxococcota_A_473307	 c__Polyangia_463783	 o__DRWM01	 f__JAAZOP01	 g__JAAZOP01	 s__	0.999949606
1e6c39bdfc5aa89a188d5daa6d3b0c84	d__Bacteria	 p__Bdellovibrionota_C	 c__UBA2361	 o__UBA2361	 f__RFPC01	 g__RFPC01	 s__	0.999994621
0bd580f9eff557e021e143c2e52cb061	d__Bacteria	 p__Firmicutes_D	 c__Bacilli	 o__Mycoplasmatales	 f__	 g__	 s__	0.995690162
5574aeafcbf37df598483063cfa6038d	d__Bacteria	 p__Firmicutes_D	 c__Bacilli	 o__Mycoplasmatales	 f__	 g__	 s__	0.999999515
5ed06cbe1cf5739bd17af6bd7829f82b	d__Bacteria							0.99178306
cd123378a5ad71a9672ad7fbd2aeebca	d__Bacteria	 p__Dependentiae	 c__Babeliae	 o__Babeliales	 f__Vermiphilaceae	 g__Vermiphilus	 s__Vermiphilus pyriformis	0.959062022
2347b008fadf6b1c5bd46ed6d49ef4e7	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria					0.999977017
ebfac0b056a0014a4786cb7c7520d51a	d__Bacteria	 p__Planctomycetota	 c__Planctomycetia					0.999954723
17c824e266dae44aa703188f59247427	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria					0.999995502
4a6f736ee96d163914ca1deefc16e44f	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales_877923	 f__Flavobacteriaceae	 g__Flavobacterium		0.999998262
64743fcf92f0ad04133e5afd0940d6a0	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Berkiellales	 f__Berkiellaceae	 g__Berkiella_A	 s__	0.99999959
e32b16df3d2e28aa0cb0003fb13f6900	d__Bacteria	 p__Actinobacteriota	 c__Actinomycetia					0.971957264
b94316f3b3b7b82ab3a9ac20c4760d4e	d__Bacteria	 p__Chlamydiota	 c__Chlamydiia	 o__Chlamydiales_778124	 f__Parachlamydiaceae			0.999387979
e233190faeef26d053548d128b77b6f0	d__Bacteria	 p__Dependentiae	 c__Babeliae	 o__Babeliales	 f__Vermiphilaceae	 g__Vermiphilus	 s__Vermiphilus pyriformis	0.999414445
3dc36a00f598e72a41997da50c5f3a66	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Legionellales_A	 f__Legionellaceae_A	 g__JAALKW01	 s__	0.752101722
83baf4fc4d4b99dd6e5bf5f1957e55c6	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Spirosomaceae	 g__Dyadobacter_906104	 s__	0.759161574
7ad8ba399ba8c7744570fb319c65ba3f	d__Bacteria	 p__Firmicutes_D	 c__Bacilli	 o__Thermoactinomycetales_367745	 f__Thermoactinomycetaceae	 g__Risungbinella	 s__Risungbinella pyongyangensis	0.740468462
978bb8aa15ee76fb4cd3f53268ca7bf0	d__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__UBA2999			0.875401896
212363afad735b2b4b9d5ae064d9355f	d__Bacteria	 p__Patescibacteria	 c__Doudnabacteria	 o__UBA920	 f__O2-02-FULL-48-8	 g__O2-12-FULL-42-9	 s__O2-12-FULL-42-9 sp001777665	0.999985824
48d252ebc86e6154e8991920b2d2cb7d	d__Bacteria							0.999999998
b2a6dea2a801377050cb47b16ad0b3a3	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__	 f__	 g__	 s__	0.965438501
e4d2d1240d74792db1de17d3c1b0146a	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__	 f__	 g__	 s__	0.963253154
85561d0c510de039abcd47208a43e20b	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae_966727			0.999956805
5ff975d403d258f8fa06009952b11d8d	d__Bacteria	 p__Planctomycetota	 c__Brocadiae	 o__Brocadiales	 f__	 g__	 s__	0.987584483
0dc7ff7c505af942ea0652c92b9a16f4	d__Bacteria	 p__Firmicutes_D	 c__Bacilli	 o__Paenibacillales	 f__Paenibacillaceae_367444	 g__Paenibacillus_C		0.987479386
0012f2918ecbe25aa86cae1b7bc48f21	d__Bacteria	 p__Firmicutes_C	 c__Negativicutes	 o__Sporomusales_A_41697	 f__Sporomusaceae	 g__Sporomusa	 s__Sporomusa rhizae	0.716008377
105b7204725986ca18d599de8e2c0757	d__Bacteria	 p__Planctomycetota	 c__Planctomycetia	 o__Gemmatales	 f__Gemmataceae	 g__	 s__	0.999694127
09762ab5bd31753f89bd63d9d2c18cc4	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__DSM-16500	 f__DSM-16500			0.834496616
dcca83d9577e6b05b71cbb2069d9dcc3	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Verrucomicrobiaceae	 g__	 s__	0.999835555
f6d92d459792b2749a4bad0d98b61384	d__Bacteria							0.999998689
cd263db52062d7fd429a16415decf7e3	d__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__UBA5946	 g__	 s__	0.999987435
79f2f40edb787e0f6fe1f2dd1c5211d5	d__Bacteria	 p__Armatimonadota	 c__CAIYQO01	 o__WVXJ01	 f__DTIZ01	 g__DTIZ01	 s__	0.705898169
1494e6f55398089ecdb0507b766ebacd	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Caulobacteraceae	 g__Caulobacter_487784		0.999963128
8febf94b05e54ab39abbd852a0458f2a	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Dongiales	 f__Dongiaceae	 g__SYSU-D60014	 s__SYSU-D60014 sp003576685	0.962134017
4f9111770859b714b33120f68caf6a1b	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales_A_502138	 f__Devosiaceae	 g__Devosia_A_501803		0.995321866
5bb3294aee0582c45b0024537712d2d4	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Verrucomicrobiaceae	 g__Prosthecobacter	 s__	1
ff94aa328645bc181b97a8fecdfa23cf	d__Bacteria	 p__Gemmatimonadota	 c__Gemmatimonadetes	 o__Gemmatimonadales	 f__Gemmatimonadaceae			0.737344298
7d2431151b58c9d8fa0bda6ab89d5560	d__Bacteria	 p__Actinobacteriota	 c__Actinomycetia	 o__Mycobacteriales	 f__Micromonosporaceae	 g__Dactylosporangium		0.73544175
e3c8f853a1007dfc4b285fd45970bbb1	d__Bacteria	 p__Acidobacteriota	 c__HRBIN11	 o__HRBIN11	 f__HRBIN11	 g__HRBIN11	 s__	0.999948726
5ec68db72c55198f51082f7717d7d8f7	d__Bacteria	 p__Acidobacteriota	 c__Blastocatellia	 o__Pyrinomonadales	 f__Pyrinomonadaceae_433871	 g__PSRF01	 s__	0.958971654
f25d4b85f49d5c7bfc76e4fdf41bbe51	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Azospirillales_507929	 f__Azospirillaceae_507917	 g__Indioceanicola		0.781945172
95fd524bbb6d64258655654f26713df3	d__Bacteria	 p__Patescibacteria	 c__Paceibacteria	 o__UBA9983_A				0.999976173
08c24875ed9800a152def491c4c790d4	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cyclobacteriaceae_900466	 g__Ohtaekwangia	 s__Ohtaekwangia flava	0.960304605
606e568656f036368b886a21f5d05bc9	d__Bacteria	 p__Firmicutes_A	 c__Clostridia_258483	 o__Tissierellales	 f__Peptoniphilaceae	 g__Anaerococcus	 s__Anaerococcus octavius	0.999969985
9f71088a8ff82890886527f93e472303	d__Bacteria	 p__Actinobacteriota	 c__Thermoleophilia	 o__Gaiellales	 f__Gaiellaceae			0.998731533
4967a67137eff2d6dfc3e5f88909fa07	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae_966727	 g__Flaviaesturariibacter	 s__Flaviaesturariibacter terrae	0.999996838
8c73a024026d0898eaefde2f82fd5eb5	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales_A_737866	 f__Enterobacteriaceae_A			0.999999857
57739e13dd1a2c62e163d8446d04db38	d__Bacteria	 p__Planctomycetota	 c__Planctomycetia	 o__Pirellulales	 f__Thermoguttaceae			0.808220593
9be5239c844104fbdfdcbdd0d70c3055	d__Bacteria	 p__Chloroflexota	 c__Chloroflexia	 o__Thermomicrobiales	 f__	 g__	 s__	0.9999841
90a390879a07069532ff16b732103734	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Kordiimonadaceae_482971	 g__Kordiimonas_482971	 s__	0.98064398
53aed69759d8cab67d4151de823723e4	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Micavibrionales	 f__Micavibrionaceae	 g__UBA7657	 s__UBA7657 sp900696495	0.996869732
0bd98481edf8b426b26b57d4eba0cace	d__Bacteria	 p__Bdellovibrionota_E	 c__UBA2428	 o__UBA2428	 f__UBA2428	 g__JAACVK01	 s__JAACVK01 sp009991595	0.99671985
ad6537c111d789e9cc0fbad59694456a	d__Bacteria	 p__Acidobacteriota	 c__Vicinamibacteria	 o__Vicinamibacterales	 f__UBA2999	 g__	 s__	0.770631234
46e406909d39ee80b2238b528c2738d0	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cyclobacteriaceae_900466	 g__Chryseotalea	 s__	0.999058404
27ebfd70b15774672240d901d5a9207f	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria					0.995896298
06b41da162364f22cc26b4936df64d02	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Catalimonadaceae_908648	 g__Flexibacter	 s__Flexibacter flexilis	0.999897603
ce44a3954542d6413e625ef23ecadbcb	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Coxiellales	 f__Coxiellaceae	 g__	 s__	0.998180548
6d393af1077b6ce693130cbba43a1808	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Opitutales	 f__Opitutaceae	 g__EW11	 s__EW11 sp003054665	0.988102009
359a35844f12f88e8403bcb061a45a3a	d__Bacteria							0.999999981
d3356e301bfb56ddcae4aed2773dc204	d__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__UBA1547	 g__2011-GWC2-44-17	 s__2011-GWC2-44-17 sp004145215	0.996310243
