asv DA_Intercept DA_Fraction_Viable_cells_Active
c9fa5796c5d49cf56573eaf06b68f909 FALSE FALSE
c1413f07c7154238d3c042c1c46c6073 FALSE FALSE
721bec93178db8ac44d9855db64fd88d TRUE TRUE
ea84219170dd157b11f4dfd3ae004b70 FALSE FALSE
7277e67f2a2a90904b67ef7b2a5a28a0 FALSE FALSE
8b9aeba17d76b345a287fa96ebb407cc FALSE FALSE
bfbe52a9e10641173d2845169c3e5446 TRUE FALSE
9ecf8edcbba3c871af90138711545735 FALSE FALSE
ec4e718859741275dcb72b99482de727 TRUE FALSE
91c61a05f437458e574b1d4f9b3df5c1 FALSE FALSE
2ff1f4a1ef124c1ea95c958d6b3793cc FALSE FALSE
d185338e32063a691256e8aedde84de6 FALSE FALSE
80725de75f47b0a6f7da6b938c784139 TRUE FALSE
50224a2e7aa07e4a1283c1649cd0c8c9 FALSE FALSE
17b69ff2b4a1e92a9e5bba6036bbda51 TRUE FALSE
fcbcd2f7caca898f9a0c0cd2ff293fac FALSE FALSE
ae141e2ba93f5fe84153c53e095395f3 FALSE FALSE
9318f394b2e27570e35b5e888510ba32 TRUE FALSE
7c39ad081a428ca28a5cc21dd5c874bd TRUE TRUE
e385a82aeac0a744105699190cfc84ff FALSE FALSE
77572d76a8c8859b7aade5581eb1c568 FALSE FALSE
cf2a625547909cab32e5e208dd29cdad TRUE TRUE
52505c0766530ba32e3357ad5e8d1a80 FALSE FALSE
55a69da74e2418c3286c019eae30672d FALSE FALSE
f2aed719df9c518a4588d4692c737b46 FALSE FALSE
79d360be37eea4e43237b181b2d566e8 FALSE FALSE
2ec9af323acd4f7ff97d2251c3be13fa FALSE FALSE
b4f3a9d08bb5579581c919e967379bae FALSE FALSE
ef286f65e2cbe76702abd6535777ada7 FALSE FALSE
f793e78f1b09979befca375e23553dba TRUE FALSE
2fe543437ace998a31b862d7c36867ea FALSE FALSE
a8a4477b911e7fa809cdd2aba347f1d4 FALSE FALSE
f36450b7be58ed2bd0a80aa3a306ef3e FALSE FALSE
d58948c566b2a2ca2fce09fc68d85a82 FALSE FALSE
9e445b9446e0db16325ae40c06609a48 FALSE FALSE
41b7521cb410f66d5fadd01ddfbc3d66 TRUE TRUE
c58804699df33f8d1ae2aff473b2b01b FALSE FALSE
a024bdf61d57a12710decc00a8a0b46a FALSE FALSE
ac548297ae5c1838f4ff5644ec456514 FALSE FALSE
1ae807eaa911eb4fbbf338b5e7df573b FALSE FALSE
aa5d3df9e9e7788ec8895251080d9cf8 FALSE FALSE
22df7fb7009e07ca021c57372cad626a FALSE FALSE
fd930b8248b49a590a077680d40a254c FALSE FALSE
fb2afd27a9e7c79a79f8b235361625fa FALSE FALSE
ec9b13d62705e56f051b35c9cddd6a31 TRUE FALSE
aee6fd5b28c747dd53d906a10c54edfe FALSE FALSE
18fa53dd36830141d6b2785332fe6551 FALSE FALSE
e8cfa4c5bdfd2fad37c8d7efd6e9a5d6 TRUE FALSE
e8e2eba26f0f2d091387b81102419b0b FALSE FALSE
7c3ff1f79e948d57b471f197528edd1a FALSE FALSE
c815fb88d5d414ca5fa0e52944dc1eee FALSE FALSE
0f2586d3a03c5c577d9d7f9c6f0e0b6c FALSE FALSE
09c5e4637f2ebfe80a9169b2b204df66 TRUE FALSE
e1320550e12054657e740dedd0e5e79b FALSE FALSE
431ed7643c30574c1594edfc31a0aa61 FALSE FALSE
349f0ab34bec9959b6c48147f8a4b050 FALSE FALSE
449cb10fd1fdf9ebe003c490834565b3 FALSE FALSE
8288b331c399ffe8078d19354bf0f67e FALSE FALSE
b2aefa910bdea2ea89e1f9721078dce2 FALSE FALSE
d7277a321232101be9aaf1700b628128 FALSE FALSE
ee49b2c458b7d8e54d794dac2230aaf1 TRUE TRUE
e86213b522900cedbef6525d6ccd02d2 FALSE FALSE
7033ac0193870528269ac1cf0a184669 FALSE FALSE
f842f2308e785110999292842bb59f69 FALSE FALSE
4ffa98689316842c3e46e38d75cc228e FALSE FALSE
c51b36e990a0800431cbe41b05ca6d71 FALSE FALSE
0ff8521ae1d336a151940e9b0ae22608 FALSE FALSE
4d2718a6cb2774d782d35b0fb3f43e58 TRUE TRUE
5885499f4696dbd5dc144fd890757f98 FALSE FALSE
ac84a2e2977581e77fe69d9bab27a216 FALSE FALSE
0d7a6aa090ca7c1e5d12f57755507c53 TRUE FALSE
22ff7822594d2b4f44277eff5294cbef FALSE FALSE
46d037168cf341bfdb227f8803d21a7b FALSE FALSE
9caf0181bb03820abe0daf1fa2f17005 TRUE FALSE
568829204293c74189be4e620b58092a TRUE FALSE
0798dbd6c330d34948f8511523ea31fe FALSE FALSE
405e91e3b9c3e625f86a378d8fe3da0f FALSE FALSE
0214dffdc5fa3f9885a2877f63f80e59 TRUE FALSE
df60ba91864ca0fccad621f2b94776ca FALSE FALSE
4da0682cd96d46be3e5bbdf7f320bcb9 FALSE FALSE
dd96606f22f83520866b8f28850d2f50 FALSE FALSE
b30df403ae1bdf86181489a909877f94 FALSE FALSE
4ef5af356668f0bb8c059cb4f7fe1e8c FALSE FALSE
63d0db67e1a70ca2992098f0b94519e3 FALSE FALSE
16d4a8155e2011c59220a342a49ca87c FALSE FALSE
b0b7c0a04458cad34f0dc1db4b46a928 FALSE FALSE
a59a4bae99a9a80bd5b145026bb33e86 FALSE FALSE
3401be6b9a0fd990b095ac699fa1ff58 FALSE FALSE
7098a9d7e39d98d72bb9a35ac6a9837a FALSE FALSE
8d55c58478fd09316afd18f95a6baff5 FALSE FALSE
fbbbf8573ec4f09725dfe31a2bfc0dfe FALSE FALSE
ba7a7245cb08cbfb6e02841cce87d60d FALSE FALSE
32f2b4bd4df58097f6f60c50ed3553f9 TRUE FALSE
682c157f3e62293970ae5a1bb731ea26 FALSE FALSE
0b105d1ac59bb8f1e6eb2458077b3dc0 FALSE FALSE
c6116780d994bd7003ecf667bb205f45 FALSE FALSE
b29c5a68546675ccdd159c268cd07d8d FALSE FALSE
5004e05d7e1995ad25876b8796e8d395 FALSE FALSE
456fe6ddf3e2bd0a8e4ee44a69403abe TRUE FALSE
a0bf04900323daa34250d87b06b986e6 FALSE FALSE
3af4d38e7d99a5ca946133b87c320cf8 TRUE FALSE
40a9538175df1254bd60331d2f0cf1fc FALSE FALSE
12e43b71471810b979174778e02bbf7f FALSE FALSE
750661a1b21a1c079317ec3122ed559a FALSE FALSE
597ee5fdbb72d52a95cddd2cf81c4ef6 FALSE FALSE
ca641333428b05c0ee24ba76732a5159 FALSE FALSE
e1bd8bca274c4b1222e356d712217441 FALSE FALSE
a62a2c137749da0b410ed30e36114bcc FALSE FALSE
183b3d91423a443d9099dc0abf980e98 TRUE FALSE
4799b72312775e602d91e25b61777f29 FALSE FALSE
da929655c7d6f91ea19228822c2d1267 FALSE FALSE
2af1f53667a666db3b8ea9733661a4f1 FALSE FALSE
f657ad39b37e25354c76e09eff4652b0 FALSE FALSE
bcd302dbd1d09d4622699cef91c32e9c TRUE FALSE
185f4b33cdaf8bc34585e00627fbbe9a FALSE FALSE
d0dbf4b847331de6324ecf0dde4ee8da TRUE FALSE
011faa47738e3986af15577e61e67135 TRUE FALSE
07638cb4ea754c90440a502a1a0f4ec2 FALSE FALSE
00404f5c3d46f04005ca301eca590fb3 FALSE FALSE
2d6844beeb071857ad2269a1c6190b97 FALSE FALSE
fe254a42aa086817dc2e1952ca8c7045 FALSE FALSE
e94f45fe33118edb89d22a6cb622c7f1 FALSE FALSE
c703fa941a059015df43bd49ee4c3783 FALSE FALSE
c68b9af6188505e32d0a4de55a162a28 FALSE FALSE
e971fea0a568d0224c068a03749c9df6 FALSE FALSE
d21529a2a934acc2cd860dd30015c8d1 FALSE FALSE
ba3b7fc5a664ece31017f0cbe65b1044 FALSE FALSE
f95029e5a1e54bb43fe12935d7c1caac FALSE FALSE
26bf298f39cd0598c3c0b27dc8465b33 FALSE FALSE
d2a1ca66d5c6236cc3b3900362dc18eb FALSE FALSE
5bbcc4e86ffb93c7a6cd2a69637e3bc8 FALSE FALSE
690cd0ff6fc957d963c494de20d50d69 TRUE FALSE
7c0f6eefe9e140abe4beeae797061e31 FALSE FALSE
e77b4c965ea6c076d9449a4719948a91 FALSE FALSE
4a730864dd494e59a485f2cef7e629a1 TRUE FALSE
6fff3ac707f2d859b06eca15a2169bde FALSE FALSE
2092c3c95ec044a5816c90a1b38a87db FALSE FALSE
cf45de5a5ffdac9a9850c561a69faabf FALSE FALSE
216c14f4f1ab78fe6d94af6ad470eb1b FALSE FALSE
f4fbc75700f983da1498a93e60886559 FALSE FALSE
6231fd1e307a4ee9a4469dd888a74f3d TRUE FALSE
0f995b24faa7fd071914de1aefaf880a TRUE TRUE
438357b9c26356aba266a44a62ab827c FALSE FALSE
b4e168e0751c1ccd83e59149dd3e2429 FALSE FALSE
b922fbc6cb917069d9ad05d7ce4b2a01 FALSE FALSE
afdc750df0bb08b6e454d942731019ea TRUE FALSE
5c23fda826a567b7d9d8e8201d5a6588 TRUE FALSE
deed57f64a92b4083300d7f7f163970f FALSE FALSE
9bb82b7968853747e6b2f7d49df95dc4 FALSE FALSE
e182768739668be0d49fdefc5e8e3411 TRUE FALSE
473550f4fad9e14b3fd78d7e417bec31 TRUE FALSE
e18c96a20981278cef1528fe37f70929 FALSE FALSE
1801f75051b7c418af024080376bf632 FALSE FALSE
1e67541eef21f094c8d798fd7b900df0 FALSE FALSE
88679a323eea734d5000922c9146e01d TRUE FALSE
7383e67e3c37bad3b6acc21175a5f2ac FALSE FALSE
4ca38f7b622d8547937b32dd0ddb3463 FALSE FALSE
735994b04a3072f658972846a6f58909 TRUE TRUE
81629582e81b3375972b18a24ec022e0 FALSE FALSE
6d080e12452f9cce975daf45d5f97a36 FALSE FALSE
a5b27210ac7e241a828018ff95b85d9c TRUE FALSE
650e6f7309830e607f75229117b20764 FALSE FALSE
95ecbee57ca56e438d2f785faa485fad FALSE FALSE
03eeb7f1526344c0cd10bbbfc3b94372 FALSE FALSE
1eececea8c182aa11ef1d3439216cfc1 FALSE FALSE
c30802e113000a8249c1703046da115c FALSE FALSE
dfcbdf42722cc7de0a0693b8bd78c1c9 FALSE FALSE
422359527522cb05dcee183e5a36981f FALSE FALSE
52f3faac3c41891f88aa56226124b7e0 FALSE FALSE
0cd6cb602dc08e9d1c63d4dddc9c5b95 FALSE FALSE
f00411c121d9aee8a6f55d9fc0a759ec FALSE FALSE
7ebd1eda121ba187e64eb65af96a6b62 FALSE FALSE
aef56b953667818f399b1f33532d3f88 FALSE FALSE
12bf34a18d620aafa33bd40697e09077 FALSE FALSE
1edb8de453ebcf296e36162a6e6888be FALSE FALSE
8f71a9a8060aa494e29b491be1189284 FALSE FALSE
08f21e0e21f8f635d536c1f9053d11fa TRUE FALSE
8bb3b17bd89a19b8fb8127511d36eed0 FALSE FALSE
056394b50740f7d8d101ce38a7d92ff9 FALSE FALSE
1886becc29b452e460cb30c79f7f8897 FALSE FALSE
be42831588caa14346a2902a0790f9bb TRUE TRUE
e251eafd124a1ce7c62f915e50828525 FALSE FALSE
4fd952db1056e1588390cc62e351a2cc FALSE FALSE
34dc6dadf2c28998cc74d583f169f9d4 FALSE FALSE
c18b3aca4acc44fe5e5822fcc6c957f7 FALSE FALSE
d2d0265f49d92adb0a35b44aa88dc89b FALSE FALSE
f7b1d570b3db2c07841a539642dd2856 FALSE FALSE
05d48b44261d7432859a0d480ae5d6f6 FALSE FALSE
4b6c2974d9ad4ca8b3f81dcf7e1054f6 FALSE FALSE
ee8b3c1cffc3d03bdd1489dcf4d0c018 TRUE FALSE
0f2d0764c141776f999568525a3722eb FALSE FALSE
d647045c6d1362d275be511374e2edc0 TRUE FALSE
fffb89cff478ecc13b313516ec721dc0 FALSE FALSE
daac2813ec4defb7cdc75147d26333bc TRUE TRUE
c53d15256569bfb8f3eeef18abaa7bf8 TRUE FALSE
d8d7b0624e5c59feabe7b1f39f4fcf77 FALSE FALSE
505d58cbcf39d99b1c4d2d2edcce5650 FALSE FALSE
38597742f92881ec9034ee60e7955787 FALSE FALSE
071427da716d9006329475e29222124e FALSE FALSE
e2d4cfa41fe348e0abeeb9057913175c FALSE FALSE
8225436a09799c409a2f54e2f7b35463 FALSE FALSE
127c5591e63cb7d4ce0c520dc4f7d1c1 FALSE FALSE
67cd0dd1cbcc428e4e0b2d80ea891226 FALSE FALSE
db4a8e3fe4c9fc8547da82ca35d20b2f FALSE FALSE
d87abb84dc9d44e2c9abaf7431d91492 TRUE FALSE
090f66af5d0d20a9ba480d6d24121ccb FALSE FALSE
cd3f752f0d20802d0f55245543d81e49 FALSE FALSE
dae85c99714ddf8f7d3e6277a970ba49 TRUE FALSE
c5174213be91ce526a127278cd2a575a FALSE FALSE
8c51d49e5464751efa1ee21926a566c6 FALSE FALSE
d52a536497482242337ba9cadfdf5952 FALSE FALSE
9e1c185cd0252cd2aaf63b71e39d3c83 FALSE FALSE
61d4e7bb5d627de0245bc6ac3bd2d81b FALSE FALSE
73d1e26efc9030714b2f4f2cc93d229f FALSE FALSE
cb8769b6e3a5b24a430cd98eddd8c129 FALSE FALSE
4b904a9958b5499283c699cb43dab125 FALSE FALSE
fbbd35429962530f09d8b94d85cd2f96 FALSE FALSE
26c3054acb3e1fc013110260c85d8587 FALSE FALSE
d19c65b0a3448795926a7487f87e29c7 FALSE FALSE
57139f52c6211e74fe74fa027eb2142f FALSE FALSE
0c9f84ec2463ec7c26f8ae0ec30bf683 FALSE FALSE
0c586540880951408dcf7738f45bc6d1 TRUE FALSE
1781d314b0fc81ec3ff4651c306a895b FALSE FALSE
6b597ae3e0bc34383b81089192fac18c TRUE FALSE
092d37806d56742796a5ba4bc29269d6 FALSE FALSE
221a2f7048cf60eb5d2b2d9230b363ee FALSE FALSE
5c7cfff27c273b2c705fcac1d39afdf8 FALSE FALSE
b045bd71cc3ba0ff912ae73d4cef3143 FALSE FALSE
3913d2a55a3d914fa0761a3eb5fd9c26 FALSE FALSE
063b6492aeb17d3f9495c25e55332ab5 FALSE FALSE
d43a605adb4d7a5f22989e0656221028 FALSE FALSE
0bd8b057c6ac446c64f8d80a717c7854 FALSE FALSE
940211ba17ecc3c58952c1c289ade987 FALSE FALSE
015f7bb6cd49b4af283205d8e4644d0f FALSE FALSE
f6a7531cfb5d216be908ada391df788a FALSE FALSE
cb6748bb562e4646e34d641eefcada11 FALSE FALSE
574dbfcbb9235362c3a827d3d384470a FALSE FALSE
119eea795d97d0993d93777313bc1eb2 TRUE FALSE
259db6c214b989fd2c21b4e296e19942 FALSE FALSE
da4e45a984189da1ccde7418d909f659 FALSE FALSE
995ac83d50c9e6ce71c13e3eb3bfcdc5 FALSE FALSE
84bcc1f8b5e799a0b5fea9519520db9c TRUE TRUE
6e611b641703c749a036e1cbb49f9aba FALSE FALSE
c9aea435821b51653cfd1fdf3162bbab TRUE TRUE
37cb024a4dbdbe048510d48e9802db7a FALSE FALSE
2aaaf82eff5cd72a2d3cc69e5d4944a9 TRUE TRUE
5d2cfd959cc2b6cde03ddc4c01b6fa83 FALSE FALSE
028125e998421a4673fbc1f005a87536 FALSE FALSE
b33f2bbc19fce2492b911821a32ed2fd FALSE FALSE
bd91811682d2abf2e80e9fc5ef193bbd FALSE FALSE
471719b90033c72696482188034bfc84 TRUE FALSE
55019faa7f4fb1269b075eb5fea02403 FALSE FALSE
7054df326361e3d88250d3a55babfdfc FALSE FALSE
1ce37b287e64d222fbf770fd59e09e0d FALSE FALSE
0a0e27de670d66b5cb49ad0400e168cf FALSE FALSE
461d8e0b0cd851f7aecfaae8c7e834df FALSE FALSE
d4423b0dfb00e482554449041884d1e8 FALSE FALSE
8a305cebcbf04c4869e91d5c973c09c0 FALSE FALSE
58cd02a54e86b905a97a61d9bfc17ba3 FALSE FALSE
541600a96a149569fb396fd7578b4503 FALSE FALSE
a6d66ad839cc50d93a3fcf73b0c91c48 FALSE FALSE
1b315eee2956c287ab6e15e60c1825a6 FALSE FALSE
ff0574dee7cde5d3a1182a20fa392ab8 FALSE FALSE
ce83393622fc68041124fd32057474d2 FALSE FALSE
c76225da18f5df190cc5d95c71966fbf FALSE FALSE
b1208c70b48a6745d9d1830be262ef30 FALSE FALSE
468e77da9dd92de79786771411adbc3b FALSE FALSE
0182185bedc45e398a24482b20bef706 FALSE FALSE
5627b14befcf129a842f1866cf460025 FALSE FALSE
e7afeda4af65aa6554f701483cae6b40 FALSE FALSE
759d4eb689fe363c1a0bcccf56b07358 FALSE FALSE
0a7b0da3d81d3cb554cb293583bd857b FALSE FALSE
1c09c57ee534d22a1804d1fb065318ec FALSE FALSE
36900f97dc3d328cf52644e92d576588 FALSE FALSE
2c321be84c207512d1873af19a6c2d50 FALSE FALSE
5b7abc8bf8bb2cab8f857e8c99af6754 FALSE FALSE
76255dbd18975e3134388f6a93ed18d1 FALSE FALSE
41fbc4c07a642bdcf6b6148bbc5179a0 FALSE FALSE
cce0c3eb6eee4b3f2f0b6c5f6fc2504a TRUE FALSE
93be64a33c9d6d9e00f345b08c037f98 FALSE FALSE
fec36a18658ac67a83836732f6ec7311 FALSE FALSE
626f395473c86aac3715328352406036 FALSE FALSE
