"asv" "p_Intercept" "p_viable"
"1" "f18c54e493d5d5ad534b9c3100216416" 0 2.93633580473653e-09
"2" "509fca5a90d0b1dbec313e11c762a7e1" 0 1.51501698030491e-08
"3" "b0a6492dcd2c78db242d7b78618ab9ac" 0.276599925868487 0.0188191470686256
"4" "fef6fa6624415b309a5ca9ff89d8efa0" 0.21254772229035 0.0924052864044516
"5" "2acee427328d2e8641b8738258b15927" 2.52742029974339e-219 1.72564044373941e-11
"6" "75d7c7a1bfc0a32da8b15f370a363073" 9.31607543542811e-08 0.699164803858549
"7" "d2e4b0d730d23797a6056490f9cb549c" 1.65571466444842e-50 0.458459931552905
"8" "757d2e39206866545010c4afcc44f748" 0 1.41076592670155e-14
"9" "c3e1345f0d45ef03cb8d2b6475a890b1" 0.06155659703348 0.558208392865158
"10" "051248e3d7e31dfb9ce8de793a97b6f2" 3.40163915994736e-38 2.57628810959509e-06
"11" "704bb18d32079bee8aec56f6eea0e0ce" 9.05336997023401e-14 0.0508728550681116
"12" "0052997f3114e9a350300fa62719d564" 5.76924318231504e-146 2.44772697816459e-06
"13" "b51aaeefbc2a97bf0db370d41fd7e493" 0.134947651626324 0.0043926251270578
"14" "71582281edf705eb59a48c1a50e59a86" 6.90482785380592e-68 3.1212498086408e-08
"15" "ff8123ece2a6aff4b7f2750a928e83ec" 6.99822434167183e-63 2.67343032406177e-13
"16" "7d2d1b7d4e351f67f982eff3c2fe17cd" 9.08739121337072e-51 3.07947917968054e-11
"17" "8b10efb60e9ddd2cb7fcd09c8fa35166" 0 1.9965525416973e-24
"18" "d68e5db43ed592beada9818c7dad8e6c" 0.0630681818778824 0.997502315927239
"19" "9a9d60dff4a1cf50f489b3e45e0879b9" 0.314870277691178 0.0764000830559121
"20" "9ca5c6b3923a29ddca908fc1a47ffca1" 1.27437093361271e-150 3.79516316729186e-09
"21" "d44ee1c36fcc9b098d56b04791f30386" 2.2057989232314e-71 0.000695218685057991
"22" "c639f70ccca7c6dbc19384f369cc38d2" 0.000155016362661831 0.0643495477887112
"23" "89fe561433ce9c6fcaf90d8deb88271b" 0.109326089264099 0.652993975440003
"24" "ef3973c11f25271f8f1f48a5f7d21e39" 0.331096335130879 0.00136919241732634
"25" "c09563e31635d061641ff75dc777f7a9" 1.38884375982183e-34 5.45578927567101e-08
"26" "067b8e7fc5a9eeec4a1c1be27c0a853d" 6.18207485115943e-28 0.000740102117405711
"27" "9b5bebe83b92a72369289b77cdcb0171" 0.0495418540462817 0.868281248461719
"28" "56acd54962aaed6383d2cc96c94dce56" 3.24167383228874e-89 1.21240118259422e-18
"29" "801b1df1cbf083d60d4ae99fcef32080" 0.1702372892988 0.073989250431139
"30" "4db23a5f34dc9d4426fed4d6b8555286" 1.65428955947923e-17 0.00688515401730433
